id,x,y
1,499.5183511,-337.824821
1,611.6437456,-341.2998017
1,723.1289331,-345.3308124
1,833.8812041,-349.7953792
1,943.8158416,-354.5578485
1,1052.889581,-359.473515
1,1161.102855,-364.3930188
1,1268.482239,-369.1668832
1,1375.062111,-373.6500567
1,1480.884527,-377.7063204
1,1586.028834,-381.2124267
1,1690.633593,-384.0618445
1,1794.815146,-386.1679955
1,1898.688424,-387.4668855
1,2002.394334,-387.9190483
1,2106.096407,-387.5107452
1,2209.95829,-386.2543823
1,2314.121237,-384.1881335
1,2418.700743,-381.3747807
1,2523.827022,-377.8990895
1,2629.623775,-373.8689336
1,2736.153273,-369.4052175
1,2843.475714,-364.6435688
1,2951.644745,-359.7286679
1,3060.688285,-354.8098515
1,3170.590145,-350.0365755
1,3281.291449,-345.5538732
1,3392.723296,-341.4979495
1,3504.833207,-337.9920415
1,3617.509483,-335.1426744
1,3730.608947,-333.0364248
1,3843.992172,-331.73729
1,3957.52865,-331.2847437
1,4071.083213,-331.6925361
1,4184.50261,-332.9482767
1,4297.621081,-335.0138105
1,4410.296293,-337.8263835
2,463.3099803,-337.8263835
2,575.9851921,-335.0138105
2,689.1036641,-332.9482767
2,802.5230602,-331.6925361
2,916.077624,-331.2847437
2,1029.614102,-331.73729
2,1142.997327,-333.0364248
2,1256.096791,-335.1426744
2,1368.773066,-337.9920415
2,1480.882977,-341.4979495
2,1592.314825,-345.5538732
2,1703.016128,-350.0365755
2,1812.917989,-354.8098515
2,1921.961529,-359.7286679
2,2030.130559,-364.6435688
2,2137.453001,-369.4052175
2,2243.982499,-373.8689336
2,2349.779252,-377.8990895
2,2454.909114,-381.3732308
2,2559.485037,-384.1881335
2,2663.647983,-386.2543823
2,2767.509867,-387.5107452
2,2871.211939,-387.9190483
2,2974.91785,-387.4668855
2,3078.791128,-386.1679955
2,3182.972681,-384.0618445
2,3287.57744,-381.2124267
2,3392.721746,-377.7063204
2,3498.544163,-373.6500567
2,3605.124034,-369.1668832
2,3712.503419,-364.3930188
2,3820.716693,-359.473515
2,3929.790432,-354.5578485
2,4039.725069,-349.7953792
2,4150.477341,-345.3308124
2,4261.962528,-341.2998017
2,4374.087922,-337.824821
3,481.4118424,-377.6880849
3,586.8901197,-377.4132822
3,692.4803303,-376.597226
3,798.2688668,-375.2647117
3,904.3218325,-373.4562271
3,1010.713906,-371.2267221
3,1117.527,-368.6439391
3,1224.830235,-365.7863546
3,1332.660301,-362.7407949
3,1441.02127,-359.5997978
3,1549.915353,-356.4588008
3,1659.367179,-353.4132417
3,1769.345813,-350.5556581
3,1879.790045,-347.9728764
3,1990.641127,-345.7433729
3,2101.845487,-343.9348901
3,2213.338819,-342.6023778
3,2325.030499,-341.7863237
3,2436.807265,-341.5115231
3,2548.575775,-341.7863237
3,2660.267455,-342.6023778
3,2771.760787,-343.9348901
3,2882.965146,-345.7433729
3,2993.816228,-347.9728764
3,3104.26046,-350.5556581
3,3214.239095,-353.4132417
3,3323.690921,-356.4588008
3,3432.585004,-359.5997978
3,3540.945973,-362.7407949
3,3648.776039,-365.7863546
3,3756.079274,-368.6439391
3,3862.892368,-371.2267221
3,3969.284441,-373.4562271
3,4075.337407,-375.2647117
3,4181.125943,-376.597226
3,4286.716154,-377.4132822
3,4392.194431,-377.6880849
4,502.5137044,-381.374787
4,607.0312055,-384.7082819
4,711.0486643,-387.278861
4,814.7002596,-389.008426
4,918.1170246,-389.844425
4,1021.453737,-389.7614564
4,1124.885146,-388.7620412
4,1228.583123,-386.8765463
4,1332.6939,-384.1622613
4,1437.33456,-380.7016585
4,1542.620353,-376.5998866
4,1648.685544,-371.9815757
4,1755.602099,-366.9870509
4,1863.401848,-361.7680684
4,1972.106393,-356.4832043
4,2081.727385,-351.2930365
4,2192.248627,-346.3552656
4,2303.609032,-341.8199233
4,2415.705405,-337.8248137
4,2528.434684,-334.491338
4,2641.699113,-331.9207556
4,2755.329384,-330.1911871
4,2869.169943,-329.3551846
4,2983.076384,-329.4381495
4,3096.9023,-330.437561
4,3210.486192,-332.3230526
4,3323.657306,-335.0373344
4,3436.271699,-338.4979344
4,3548.240959,-342.5997041
4,3659.457661,-347.2180132
4,3769.822977,-352.2125367
4,3879.280556,-357.4315186
4,3987.819168,-362.7163828
4,4095.455504,-367.9065513
4,4202.216132,-372.8443235
4,4308.13762,-377.3796677
4,4413.296293,-381.374787
5,460.3099803,-381.374787
5,565.4686533,-377.3796677
5,671.3901412,-372.8443235
5,778.1507697,-367.9065513
5,885.7871056,-362.7163828
5,994.3257174,-357.4315186
5,1103.783297,-352.2125367
5,1214.148613,-347.2180132
5,1325.365315,-342.5997041
5,1437.334575,-338.4979344
5,1549.948968,-335.0373344
5,1663.120082,-332.3230526
5,1776.703974,-330.437561
5,1890.52989,-329.4381495
5,2004.436331,-329.3551846
5,2118.276889,-330.1911871
5,2231.90716,-331.9207556
5,2345.171589,-334.491338
5,2457.909129,-337.8248283
5,2569.997242,-341.8199233
5,2681.357646,-346.3552656
5,2791.878889,-351.2930365
5,2901.499881,-356.4832043
5,3010.204426,-361.7680684
5,3118.004175,-366.9870509
5,3224.92073,-371.9815757
5,3330.98592,-376.5998866
5,3436.271713,-380.7016585
5,3540.912373,-384.1622613
5,3645.023151,-386.8765463
5,3748.721128,-388.7620412
5,3852.152537,-389.7614564
5,3955.489249,-389.844425
5,4058.906014,-389.008426
5,4162.557609,-387.278861
5,4266.575068,-384.7082819
5,4371.092569,-381.374787
